song,artist,genre,year,nrgy,dnce,dB,live,val,acous,spch,pop,lyrics
I Wanna Go,Britney Spears, Pop,2011,55,70,-7,33,79,0,4,71,"Lately I've been stuck imagining
What I wanna do and what I really think
Time to blow out
Be a little inappropriate
'Cause I know that everybody's thinking it
When the lights out
Shame on me
To need release
Uncontrollably
I, I, I wanna go-o-o all the way-ay-ay
Taking out my freak tonight
I, I, I wanna show-ow-ow
All the dir-irt-irt
I got running through my mind
Whoa, oh, oh
I, I, I wanna go-o-o all the way-ay-ay
Taking out my freak tonight
I, I, I wanna show-ow-ow
All the dir-irt-irt
I got running through my mind, woah-oh
Lately people got me all tied up
There's a countdown waiting for me to erupt
Time to blow out
I've been told who I should do it with
To keep both my hands above the blanket
When the lights out
Shame on me
To need release
Uncontrollably
I, I, I wanna go-o-o all the way-ay-ay
Taking out my freak tonight
I, I, I wanna show-ow-ow
All the dir-irt-irt
I got running through my mind
I, I, I wanna go-o-o all the way-ay-ay
Taking out my freak tonight
I, I, I wanna show-ow-ow
All the dir-irt-irt
I got running through my mind
Whoa oh oh
Shame on me (shame on me)
To need release (to need release)
Uncontrollably (uncontrollably-lably-lably-lably)
I, I, I wanna go-o-o all the way-ay-ay
Taking out my freak tonight
I, I, I wanna show-ow-ow
All the dir-irt-irt
I got running through my mind
I, I, I wanna go-o-o all the way-ay-ay
Taking out my freak tonight
I, I, I wanna show-ow-ow
All the dir-irt-irt
I got running through my mind
Whoa oh oh"
Till the World Ends,Britney Spears, Pop/Dance,2011,71,69,-6,20,45,2,7,71,"Aw!
This kitten got your tongue-tied in knots, I see
Spit it out, 'cause I'm dying for company
I notice that you got it, you notice that I want it
You know that I can take it to the next level, baby
If you want this good -ish, sicker than the remix
Baby, let me blow your mind tonight
I can't take it, take it, take no more
Never felt like, felt like this before
Come on, get me, get me on the floor
DJ, what you, what you waitin' for?
Whoa-oh-oh-oh-oh-oh-oh-oh
Whoa-oh-oh-oh-oh-oh-oh-oh
Whoa-oh-oh-oh-oh-oh-oh-oh
Whoa-oh-oh-oh-oh-oh-oh-oh
Whoa-oh-oh-oh-oh-oh-oh-oh
Whoa-oh-oh-oh-oh-oh-oh-oh
Whoa-oh-oh-oh-oh-oh-oh-oh
Whoa-oh-oh-oh-oh-oh-oh-oh
Watch me move, when I lose, when I lose it hard
Get you off with the touch, dancin' in the dark
You notice what I'm wearin', I'm noticin' you starin'
You know that I can take it to the next level, baby
Hotter than the A-list, next one on my hit list
Baby, let me blow your mind tonight
I can't take it, take it, take no more
Never felt like, felt like this before
Come on, get me, get me on the floor
DJ, what you, what you waitin' for?
Whoa-oh-oh-oh-oh-oh-oh-oh
Whoa-oh-oh-oh-oh-oh-oh-oh
Whoa-oh-oh-oh-oh-oh-oh-oh
Whoa-oh-oh-oh-oh-oh-oh-oh
Whoa-oh-oh-oh-oh-oh-oh-oh
Whoa-oh-oh-oh-oh-oh-oh-oh
Whoa-oh-oh-oh-oh-oh-oh-oh
Whoa-oh-oh-oh-oh-oh-oh-oh
See the sunlight, we ain't stopping
Keep on dancin' 'til the world ends
If you feel it, let it happen
Keep on dancin' 'til the world ends
Keep on da-da dancin' 'til the world ends
(World ends, world ends, world ends, world ends, world ends)
Keep on dancin' 'til the world ends
(World ends, world ends, wo-world ends, the world ends)
Whoa-oh-oh-oh-oh-oh-oh-oh
Whoa-oh-oh-oh-oh-oh-oh-oh
Whoa-oh-oh-oh-oh-oh-oh-oh
Whoa-oh-oh-oh-oh-oh-oh-oh
Whoa-oh-oh-oh-oh-oh-oh-oh
Whoa-oh-oh-oh-oh-oh-oh-oh
Whoa-oh-oh-oh-oh-oh-oh-oh
Whoa-oh-oh-oh-oh-oh-oh-oh
See the sunlight, we ain't stopping
Keep on dancin' 'til the world ends
If you feel it, let it happen
Keep on dancin' 'til the world ends"
Grenade,Bruno Mars, Pop/R&B,2011,56,70,-7,11,25,15,5,82,"Easy come, easy go, that's just how you live, oh
Take, take, take it all, but you never give
Shoulda known you was trouble from the first kiss
Had your eyes wide open
Why were they open? (Ooh-ooh)
Gave you all I had and you tossed it in the trash (ooh-ooh)
You tossed it in the trash, you did (ooh-ooh)
To give me all your love is all I ever ask
'Cause what you don't understand is
I'd catch a grenade for ya (yeah, yeah, yeah)
Throw my hand on a blade for ya (yeah, yeah, yeah)
I'd jump in front of a train for ya (yeah, yeah, yeah)
You know I'd do anything for ya (yeah, yeah, yeah)
Oh, oh, I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for ya, baby
But you won't do the same
No, no, no, no
Uh
Black, black, black and blue
Beat me 'til I'm numb
Tell the devil I said ""Hey"" when you get back to where you're from
Mad woman, bad woman
That's just what you are
Yeah, you'll smile in my face then rip the brakes out my car (ooh-ooh)
Gave you all I had and you tossed it in the trash (ooh-ooh)
You tossed it in the trash, yes, you did (ooh-ooh)
To give me all your love is all I ever ask
'Cause what you don't understand is
I'd catch a grenade for ya (yeah, yeah, yeah)
Throw my hand on a blade for ya (yeah, yeah, yeah)
I'd jump in front of a train for ya (yeah, yeah, yeah)
You know I'd do anything for ya (yeah, yeah, yeah)
Oh oh, I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for ya, baby
But you won't do the same
if my body was on fire
(No) ooh, you'd watch me burn down in flames
(No) you said you loved me, you're a liar
'Cause you never, ever, ever did, baby
But darling, I'd still catch a grenade for ya (yeah, yeah, yeah)
Throw my hand on a blade for ya (yeah, yeah, yeah)
I'd jump in front of a train for ya (yeah, yeah, yeah)
You know I'd do anything for ya (yeah, yeah, yeah)
Ooh-ooh, I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for ya, baby
But you won't do the same
No, you won't do the same
You wouldn't do the same
Ooh, you'd never do the same
No, no, no, no-oh"
Marry You,Bruno Mars, Pop/R&B,2011,82,62,-5,10,45,33,4,79,"It's a beautiful night, we're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes, or is it this dancing juice
Who cares baby, I think I wanna marry you

Well I know this little chapel on the boulevard
We can go
No one will know
Oh c'mon girl

Who cares if we're trashed
Got a pocket full of cash we can blow
Shots of Patron
And it's on girl

Don't say no no no no no
Just say yeah yeah yeah yeah yeah
And we'll go go go go go
If you're ready, like I'm ready

'Cause it's a beautiful night, we're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes or is it this dancing juice
Who cares baby, I think I wanna marry you

Oh
I'll go get a ring
Let the choir bell sing like ooh
So what you wanna do
Lets just run girl
If we wake up and you want to break up
That's cool
No I won't blame you
It was fun girl

Don't say no no no no no
Just say yeah yeah yeah yeah yeah
And we'll go go go go go
If you're ready, like I'm ready

'Cause it's a beautiful night, we're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes, or is it this dancing juice
Who cares baby, I think I wanna marry you

Just say I do
Tell me right now baby
Tell me right now baby, baby
Just say I do
Tell me right now baby
Tell me right now baby, baby

Oh
It's a beautiful night, we're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes, or is it this dancing juice
Who cares baby, I think I wanna marry you"
The Lazy Song,Bruno Mars, Pop/R&B,2011,71,79,-5,10,96,30,7,77,"Today I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone, so leave a message at the tone
'Cause today I swear I'm not doing anything
Uh, I'm gonna kick my feet up, then stare at the fan
Turn the TV on, throw my hand in my pants
Nobody's gon' tell me I can't, no
I'll be lounging on the couch, just chillin' in my Snuggie
Click to MTV so they can teach me how to Dougie
'Cause in my castle I'm the freaking man
Oh, yes, I said it, I said it, I said it 'cause I can
Today I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone, so leave a message at the tone
'Cause today I swear I'm not doing anything
Nothing at all
Woo, ooh, woo, ooh, ooh
Nothing at all
Woo, ooh, woo, ooh, ooh
Tomorrow I'll wake up, do some P90X
Meet a really nice girl, have some really nice sex
And she's gonna scream out ""This is great""
(Oh my God, this is great) Yeah
I might mess around and get my college degree
I bet my old man will be so proud of me
But sorry, pops, you'll just have to wait
Oh, yes, I said it, I said it, I said it 'cause I can
Today I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone, so leave a message at the tone
'Cause today I swear I'm not doing anything
No, I ain't gonna comb my hair
'Cause I ain't goin' anywhere
No, no, no, no, no, no, no, no, no, oh
I'll just strut in my birthday suit
And let everything hang loose
Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah
Oh, today I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone, so leave a message at the tone
'Cause today I swear I'm not doing anything
Nothing at all
Woo, ooh, woo, ooh, ooh
Nothing at all
Woo, ooh, woo, ooh, ooh
Nothing at all"
Bounce (feat. Kelis) ,Calvin Harris, Electronic/Dance,2011,96,78,-2,66,76,3,4,67,"Bounce, bounce, bounce
I can't believe that every day and every night (Bounce)
It's gettin' better if you're out of my life (Bounce)
It's like I flicked the switch and now I'm feeling good (Bounce)
No way to stop it, now you wish that you could (Bounce)
When the weekend comes I know I feel alive (Bounce)
You will be the last thing on my mind (Bounce)
No regrets, do you know what that means
Well it's hot, it's loud, it's wild
We bounce to this track
And I don't care what anybody thinks about that
Hands to the sky, and throw your head back (back, back, back...)
I can love again tonight
We bounce to this track
And I don't care what anybody thinks about that
Hands to the sky, and throw your head back (back, back, back...)
Bounce, bounce, bounce
Well it's hot, it's loud, it's wild
We bounce to this track
And I don't care what anybody thinks about that
I don't care what anybody thinks about that (that, that, that...)"
Blind Faith,Chase & Status, Electronic/Dance,2011,85,45,-5,23,40,1,5,66,"Sweet sensation
I am the man with the heavy heart
And I dare not turn the pages
Riding with automatic self destruction
I Is a blind faith, a cruel waste
One bitter taste
So I know I need this sweet sensation
Sweet sensation
The music that we play
Will ease your mind
Will ease your mind
What is a man now to do with his mind
when it's working over time
The best I can do is now dance with the devil
I, keep my self safe
I won't waste this time and space
So I know I need this sweet sensation
Sweet sensation
The music that we play
Will ease your mind
Will ease your mind
I am the man with the heavy heart
I am the man with the heavy heart
Is a blind faith, a cruel waste, one bitter taste
So I know I need this sweet sensation
Sweet sensation
The music that we play
Will ease your mind
Will ease your mind
I am the man with the heavy heart
I am the man with the heavy heart
Is a blind faith, a cruel waste, one bitter taste
So I know I need this sweet sensation"
Champion (feat. Chris Brown),Chip, Rap/Hip-Hop,2011,93,42,-3,14,52,8,24,54,"Some people have to learn
Some people wait there turn
Some people have to fight
Some people give it up
They wanna hold you back, tell 'em pee off
Whenever they say you can't, take the T off
I remember when they told me I couldn't be famous
Now my dream and reality is simultaneous
And work your own way to the top
If they put you on a pedestal they can take you off
And there's a higher level than the top
You gotta make more, don't do with what you got
Yeah, so get it in go sunny
Not everybody gets a second chance at getting money
Or even getting lucky so you gotta feel
The hunger in your tummy
I'm always pushing myself to the limit
Making sure I stay ahead
You made me who I am, from the words you said
Some people have to learn
Some people wait there turn
Some people but not me
I was born a champion
Some people have to fight
Some people give their lives
Some people don't believe
I was born a champion
But I was born a champion
But I was born a champion
This gon be the realest shit I ever wrote
Off the record, no camera's, forget a quote
Some of my family doing good, most doing dope
I from Virginia where they hang the n-ggas by rope
I used to see my momma getting beat down!
Is that the real definition of me now?
I fell off, back on my feet now
Headed to the sky, can't even see down
Award shows, I poured my heart out
And people still steady trynna point my flaws out
And I'd be lying if I said it ain't get to me
But I'm a champion, legend, history
I'm always pushing myself to the limit
Making sure I stay ahead
You made me who I am, from the words you said
Some people have to learn
Some people wait there turn
Some people but not me
I was born a champion
Some people have to fight
Some people give their lives
Some people don't believe
I was born a champion
But I was born a champion
But I was born a champion
Imagine you was the one, that couldn't get a look in
Couldn't get a booking
Couldn't get a push in when you needed a shove
Or your buttons they be pushing
So now they tryna shush him
It's only you believing in you
They turn you into a bastard than moment you rude
Attitude a little out of tune
But thats how champions move
Yeah so go and get it in sunny
Not everybody gets a second chance at getting money
Or even getting lucky
So you gotta feel the hunger in your tummy
I'm always pushing myself to the limit
Making sure I stay ahead
You made me who I am, from the words you said
Some people have to learn
Some people wait there turn
Some people but not me
I was born a champion
Some people have to fight
Some people give their lives
Some people don't believe
I was born a champion
But I was born a champion
But I was born a champion
No-one wants to help
I guess you're on your own
Build a foundation with the bricks they throw
In a black and white World, True colors show
Change if you want, everybody grows
Life's like an ill, but try and get a hold
Opinions ain't fact, take em and let em go
You made me who I am from the words you said
Some people have to learn
Some people wait there turn
Some people but not me
I was born a champion (champion)
Some people have to fight
Some people give their lives
Some people don't believe
But I was born a champion
Some people have to learn
Some people wait there turn
Some people but not me
I was born a champion (champion)
Some people have to learn
Some people wait there turn
Some people but not me
I was born a champion
But I was born a champion"
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Chris Brown, Rap/Hip-Hop,2011,68,77,-6,14,54,3,18,77,"I don't see how you can hate from outside of the club
You can't even get in
Leggo
Yellow model chick
Yellow bottle sipping
Yellow Lamborghini
Yellow top missing
Yeah, yeah
That shit look like a toupée
I get what you get in ten years, in two days
Ladies love me, I'm on my Cool J
If you get what I get, what would you say?
She wax it all off, Mister Miyagi
And them suicide doors, Hari-kari
Look at me now, look at me now, oh
I'm getting paper
Look at me now, oh
Look at me now, yeah
Fresher than a motherfucker
Lil nigga bigger than gorilla
'Cause I'm killing every nigga that can try to be on my shit
Better cuff your chick if you with her, I can get her
And she accidentally slip and fall on my dick
Oops, I said, ""On my dick""
I ain't really mean to say, ""On my dick""
But since we talking about my dick
All of you haters say hi to it
I'm done
Ayo, Breezy
Let me show you how to keep the dice rolling
When your doing that thing over there, homie
(Ayy, ayy, ayy, ayy, ayy, ayy, ayy)
Let's go
'Cause I'm feelin' like I'm running
And I'm feelin' like I gotta get away, get away, get away
Better know that I don't and I won't ever stop
'Cause you know I gotta win every day, day, day (go)
See, they really, really wanna pop me (blow)
Just know that you will never flop me (oh)
And I know that I can be a little cocky (no)
You ain't never gonna stop me
Every time I come a nigga gotta set it
Then I gotta go, and then I gotta get it
Then I gotta blow and then I gotta shudder
Any little thing a nigga think that he be doing
'Cause it doesn't matter, (damn) 'cause I'm gonna da-da-da-da
Then I'm gonna murder every thing and anything, a badaboom, a badabing
I gotta do a lot of things, to make it clearer to a couple niggas
That I always win and then I gotta get it again, and again, and then again
And I be doing it to death and now I move a little foul
A nigga better call a ref, and everybody knows my style
And niggas know I'm the the best when it come to doing this
And I be banging on my chest
And I bang in the east, and I'm banging in the west
And I come to give you more and I will never give you less
You will hear it in the street or you can read it in the press
Do you really wanna know what's next? Let's go
See the way we on and then we all up in the race
And you know we gotta go, don't try to keep up with the pace
And we struggling and hustling and sending in to get it
And we always gotta do it, take it to another place
Gotta taste it and I gotta grab it
And I gotta cut all through his traffic
Just to be at the top of the throne
Better know I gotta have it, have it
Look at me now, look at me now, oh
I'm getting paper
Look at me now, oh
Look at me now, yeah
Fresher than a motherfucker
Man fuck these bitch ass niggas, how y'all doin'?
I'm Lil Tunechi, I'm a nuisance
I go stupid, I go dumb like the Three Stooges
I don't eat sushi, I'm the shit, no I'm pollution, no substitution
Got a bitch that play in movies in my Jacuzzi, pussy juicy
I never gave a fuck about a hater, got money on my radar
Dress like a skater, got a big house, came with an elevator
You niggas ain't eatin', fuck it, tell a waiter
Marley said, ""Shoot 'em"", and I said, ""Okay""
If you on that bullshit then I'm like, ""Olé""
I don't care what you say, so don't even speak
Your girlfriend a freak like Cirque Du Soleil
That's word to my flag, and my flag red
I'm out of my head, bitch, I'm outta my mind, from the bottom I climb
You ain't hotter than mine, nope, not on my time and I'm not even trying
What's poppin' Slime? Nothin', five, and if they trippin' fuck 'em, five
I ain't got no time to shuck and jive, these niggas as sweet as pumpkin pie
Cîroc and Sprite on a private flight
Bitch, I been tight since Guiding Light
And my pockets white, and my diamonds white
And my mommas nice and my daddy's dead
You faggots scared 'cause I'm too wild
Been here for a while I was like, ""Fuck trial""
I puts it down, I'm so Young Money
If you got eyes look at me now, bitch
Look at me now, look at me now, oh (ha)
I'm getting paper
Look at me now, oh (ha)
Look at me now, yeah
Fresher than a motherfucker
Okay
Okay
Is that right?
I'm fresher than a motherfucker"
Yeah 3x,Chris Brown, Pop/Dance,2011,88,71,-3,9,70,0,4,74,"Move your body, out on the floor
Put your troubles aside, start living
Anybody can let go
Throw away all your problems
'Cause right now it's party time
Girl, don't feel outta place
'Cause I, I'm in love with this feeling now
And I, I, I hope that this will last a while
We should make it last a while
You love to drink (yeah), so do we (yeah)
Get more bottles (yeah), bring 'em to me (yeah)
Hold your glasses up, people everywhere
Now everybody put your hands in the air say
Yeah, yeah, yeah
Girl, I wanna (yeah, yeah, yeah)
I wanna see you tonight (yeah, yeah, yeah)
Girl, I gotta, I gotta, I gotta (yeah, yeah, yeah)
I gotta see you tonight
Oh-oh, oh whoa
Oh-oh, let me see your hands
Oh-oh, oh whoa
Oh-oh, tonight is the night
Lost in the moment, can't believe
You're so beautiful, feels like I'm in a dream
Baby, we're going somewhere you've never been before
So take my hand and come with me
Girl, don't feel out of place
'Cause I, I'm in love with this feeling now
And I, I, I hope that this will last a while
We should make it last a while
You love to drink (yeah), so do we (yeah)
Get more bottles (yeah), bring 'em to me (yeah) ('em to me)
Hold your glasses up (yeah), people everywhere
Now everybody put your hands in the air say
Yeah, yeah, yeah
Girl, I wanna (yeah, yeah, yeah)
I wanna see you tonight (ooh, yeah) yeah, yeah, yeah
Girl, I gotta, I gotta, I gotta (yeah, yeah, yeah)
I've gotta see you tonight
Oh-oh, oh whoa
Oh-oh, let me see your hands
Oh-oh, oh whoa
Oh-oh (tonight), tonight is the night
All the pretty young things in the party
Let me see your hands up
And if they mad and they don't wanna party
Tell 'em, shut the fuck up
So D.J., turn it loud
And watch me turn it up
Don't worry about it, we're here to party
So jump, jump, jump, jump
Girl, I wanna
I wanna see you tonight (yeah, yeah)
Girl, I gotta, I gotta, I gotta
I gotta see you tonight
Yeah, yeah, yeah
Yeah, yeah, yeah
I wanna see you tonight
Yeah, yeah, yeah
Yeah, yeah, yeah
Tonight is the night
Tonight is the night
Tonight is the night"
Beautiful People,Chris Brown, Pop/Dance,2011,78,42,-6,8,54,7,16,59,"Everywhere, everywhere
Everywhere I go
Everywhere that I've been
The only thing I see is
Is beautiful people
Beautiful people
Beautiful people
Beautiful people
Oh-whoa, don't you know, don't you know?
Oh-whoa, beautiful, don't you know?
Oh-whoa, don't you know, don't you know?
Oh-whoa, beautiful, don't you know, know, know?
Live your life, live your life
Let the love inside
It's your life, it's your life
Your beauty's deep inside
Inside you
Don't let 'em bring you down, no
Your beauty is inside you
Don't let 'em bring you down, no
Oh-whoa, don't you know, don't you know?
Oh-whoa, beautiful, don't you know?
Oh-whoa, don't you know, don't you know?
Oh-whoa, beautiful, don't you know, know, know?
Take your time, take your time
Take your sexy time
Don't lose your head, lose your head
Your beauty's deep inside
Inside you
Don't let 'em bring you down, no
The beauty is inside you
Don't let 'em bring you down, no
Oh-whoa, don't you know, don't you know?
Oh-whoa, beautiful, don't you know?
Oh-whoa, don't you know, don't you know?
Oh-whoa, beautiful, don't you know, know, know?
Beautiful people
Beautiful people
Beautiful people
Beautiful people
Live your life, live your life
Let the love inside
It's your life, it's your life
Got to live it right
Beautiful people"
Jar of Hearts,Christina Perri, Pop,2011,35,35,-6,12,9,73,3,77,"I know I can't take one more step towards you
'Cause all that's waiting is regret
Don't you know I'm not your ghost anymore
You lost the love I loved the most
I learned to live half alive
Now you want me one more time
Who do you think you are?
Runnin' 'round leaving scars
Collecting your jar of hearts
Tearing love apart
You're gonna catch a cold
From the ice inside your soul
So don't come back for me
Who do you think you are?
I hear you're asking all around
If I am anywhere to be found
But I have grown too strong
To ever fall back in your arms
I've learned to live half alive
Now you want me one more time
Who do you think you are?
Runnin' 'round leaving scars
Collecting your jar of hearts
Tearing love apart
You're gonna catch a cold
From the ice inside your soul
So don't come back for me
Who do you think you are?
It took so long just to feel alright
Remember how to put back the light in my eyes
I wish I had missed the first time that we kissed
'Cause you broke all your promises
And now you're back
You don't get to get me back
Who do you think you are?
Runnin' 'round leaving scars
Collecting your jar of hearts
Tearing love apart
You're gonna catch a cold
From the ice inside your soul
So don't come back for me
Don't come back at all
Who do you think you are?
Runnin' 'round leaving scars
Collecting your jar of hearts
Tearing love apart
You're gonna catch a cold
From the ice inside your soul
Don't come back for me
Don't come back at all
Who do you think you are?
Who do you think you are?
Who do you think you are?"
You Make Me Feel... (feat. Sabi),Cobra Starship, Pop/Dance,2011,86,67,-3,4,75,2,5,75,"
La-la-la-la-la
La-la-la-la-la
La-la-la-la-la
La-la-la-la-la
Girl, I've been all over the world
Looking for you
I'm known for taking what I think I deserve
And you're overdue
And if you listen, you can hear me through the radio
In that bright white noise
What I been missin' in my life, what I been dreamin' of
You'll be that girl, you'll be that girl
You'll be
Everything you want, so let me get up there
I'm the baddest, baby, in the atmosphere
Tell me what you want so we can do just what you like
You make me feel that
La-la-la-la-la
You make me feel so
La-la-la-la-la
You make me feel that
La-la-la-la-la
You make me feel so
La-la-la-la-la
You, you make me feel, oh
Get a little closer to me, girl
And you'll understand
'Cause if you want a guy that knows what you need
Well, then I'm your man
And if I listen, I can hear you through my radio
In that bright white noise
What I been missin' in my life, what I been dreamin' of
You'll be that girl, you'll be that girl
You'll be
Everything you want, so let me get up there
I'm the baddest, baby, in the atmosphere
Tell me what you want so we can do just what you like (Oh-oh-oh)
Everything you know, I flip it upside down
Take you around the world, you know I like it loud
Tell me what you want, 'cause we can do just what you like
You make me feel that
La-la-la-la-la
You make me feel so
La-la-la-la-la
You make me feel that
La-la-la-la-la
You make me feel so
La-la-la-la-la
You, you make me feel that
La-la-la-la-la
You make me feel that
La-la-la-la-la
You make me feel so
La-la-la-la-la
You make me feel that
La-la-la-la-la
Put your hands up, put your hands up
Let the lights drop, let the lights drop
Make my world stop, make my world stop
La-la-la-la-la
La-la-la-la-la
You make me feel that
La-la-la-la-la
You make me feel so
La-la-la-la-la (La-la-la-la-la)
You make me feel that
La-la-la-la-la
You make me feel so
La-la-la-la-la (Oh, you make me feel good)
You make me feel that
La-la-la-la-la (Oh, you make me feel good)
You make me feel that
La-la-la-la-la (Oh, you make me feel good)
You make me feel so
La-la-la-la-la (Oh, you make me feel good)
You make me feel that
La-la-la-la-la"
Paradise,Coldplay, Rock/Indie/Alternative,2011,59,45,-7,8,21,5,3,88,"When she was just a girl, she expected the world
But it flew away from her reach
So she ran away in her sleep and dreamed of
Para-para-paradise, para-para-paradise, para-para-paradise
Every time she closed her eyes
When she was just a girl, she expected the world
But it flew away from her reach and the bullets catch in her teeth
Life goes on, it gets so heavy
The wheel breaks the butterfly, every tear a waterfall
In the night, the stormy night, she'd close her eyes
In the night, the stormy night, away she'd fly
And dream of para-para-paradise
Para-para-paradise
Para-para-paradise
She'd dream of para-para-paradise
Para-para-paradise
Para-para-paradise
La-la-la-la-la-la-la
La-la-la-la-la-la-la-la-la-la
And so lying underneath those stormy skies
She'd say, ""oh
I know the sun must set to rise""
This could be para-para-paradise
Para-para-paradise
This could be para-para-paradise
(Oh-oh-oh-oh-oh, oh-oh-oh)
This could be para-para-paradise
Para-para-paradise
This could be para-para-paradise
(Oh-oh-oh-oh-oh, oh-oh)
This could be para-para-paradise
Para-para-paradise
This could be para-para-paradise
(Oh-oh-oh-oh-oh, oh-oh)"
Skyfall,Adele, Pop,2012,55,35,-7,11,8,42,3,80,"This is the end
Hold your breath and count to ten
Feel the Earth move and then
Hear my heart burst again
For this is the end
I've drowned and dreamt this moment
So overdue, I owe them
Swept away, I'm stolen
Let the sky fall
When it crumbles
We will stand tall
Face it all together
Let the sky fall
When it crumbles
We will stand tall
Face it all together
At Skyfall
At Skyfall
Skyfall is where we start
A thousand miles and poles apart
Where worlds collide and days are dark
You may have my number, you can take my name
But you'll never have my heart
Let the sky fall (let the sky fall)
When it crumbles (when it crumbles)
We will stand tall (we will stand tall)
Face it all together
Let the sky fall (let the sky fall)
When it crumbles (when it crumbles)
We will stand tall (we will stand tall)
Face it all together
At Skyfall
Where you go, I go
What you see, I see
I know I'd never be me
Without the security
Of your loving arms
Keeping me from harm
Put your hand in my hand
And we'll stand
Let the sky fall (let the sky fall)
When it crumbles (when it crumbles)
We will stand tall (we will stand tall)
Face it all together
Let the sky fall (let the sky fall)
When it crumbles (when it crumbles)
We will stand tall (we will stand tall)
Face it all together
At Skyfall
Let the sky fall
We will stand tall
At Skyfall
Ooh"
Rumour Has It,Adele, Pop,2012,75,61,-5,17,57,62,4,72,"She, she ain't real
She ain't gon' be able to love you like I will
She is a stranger
You and I have history
Or don't you remember
Sure, she's got it all
But, baby, is that really what you want
Bless your soul, you got your head in the clouds
She made a fool out of you
And, boy, she's bringing you down
She made your heart melt
But you're cold to the core
Now rumor has it she ain't got your love anymore
Rumor has it (rumor)
Rumor has it (rumor)
Rumor has it (rumor)
Rumor has it (rumor)
Rumor has it (rumor)
Rumor has it (rumor)
Rumor has it (rumor)
Rumor has it (rumor)
She is half your age
But I'm guessing that's the reason that you stayed
I heard you've been missing me
You've been telling people things you shouldn't be
Like when we creep out and she ain't around
Haven't you heard the rumors
Bless your soul, you got your head in the clouds
You made a fool out of me
And, boy, you're bringing me down
You made my heart melt, yet I'm cold to the core
But rumor has it I'm the one you're leaving her for
Rumor has it (rumor)
Rumor has it (rumor)
Rumor has it (rumor)
Rumor has it (rumor)
Rumor has it (rumor)
Rumor has it (rumor)
Rumor has it (rumor)
Rumor has it (rumor)
All of these words whispered in my ear
Tell a story that I cannot bear to hear
Just 'cause I said it, it don't mean that I meant it
People say crazy things
Just 'cause I said it, don't mean that I meant it
Just 'cause you heard it
Rumor has it (rumor)
Rumor has it (rumor)
Rumor has it (rumor)
Rumor has it (rumor)
Rumor has it (rumor)
Rumor has it (rumor)
Rumor has it (rumor)
Rumor has it (rumor-rumor)
Rumor has it (rumor)
Rumor has it (rumor)
Rumor has it (rumor)
Rumor has it (rumor)
Rumor has it (rumor)
Rumor has it
But rumor has it he's the one I'm leaving you for"
Years,Alesso, Electronic/Dance,2012,82,37,-6,17,32,0,8,53,"The sun hits like a bullet of faith
And then suddenly I'm wide awake
Fake bliss, our apologies made
Was an enemy with no escape
My hands were tied
But now they're mine
So grab on to desire and run away
These will be the years
These will be the years
The lights will all appear
These will be the years
Years
Years
These will be the years
Years
Grey dust now sparkling gold
And the best is yet to unfold
White heat found in comfort and cold
And a heart was found in her soul
Her hands were tied
But now they're mine
So grab on, and wherever you'll go, I'll go
These will be the years
These will be the years
The lights will all appear
These will be the years
Years
These will be the years
Years
These will be the years
These will be the years
The lights will all appear
These will be the years"
Too Close,Alex Clare, Pop/R&B,2012,71,58,-4,11,29,1,4,67,"You know I'm not one to break promises
I don't wanna hurt you, but I need to breathe
At the end of it all, you're still my best friend
But there's something inside that I need to release
Which way is right, which way is wrong?
How do I say that I need to move on?
You know we're headed separate ways
And it feels like I am just too close to love you
There's nothing I can really say
I can't lie no more, I can't hide no more
Got to be true to myself
And it feels like I am just too close to love you
So I'll be on my way
You've given me more than I can return
Yet there's, oh, so much that you deserve
Nothing to say, nothing to do
I've nothing to give, I must live without you
You know we're heading separate ways
And it feels like I am just too close to love you
There's nothing I can really say
I can't lie no more, I can't hide no more
Got to be true to myself
And it feels like I am just too close to love you
So I'll be on my way
So I'll be on my way
And it feels like I am just too close to love you
There's nothing that I can really say
I can't lie no more, I can't hide no more
Got to be true to myself
And it feels like I am just too close to love you
So I'll be on my way
So I'll be on my way
So I'll be on my way"
